Portfolio,Date,Week_End,Month,Operator,Brand,marketing_source,NRCs,NDCs,QNDCs,Deposits,Net Revenue,Revshare,CPA,Total Commission
SEO,21/01/2023,22/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-CAS-GLO,0,0,0,0,0,0,0,0
SEO,22/01/2023,22/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-CAS-GLO,0,0,0,0,0,0,0,0
SEO,23/01/2023,29/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-CAS-GLO,0,0,0,0,0,0,0,0
SEO,24/01/2023,29/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-CAS-GLO,0,0,0,0,0,0,0,0
SEO,25/01/2023,29/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-CAS-GLO,0,0,0,0,0,0,0,0
SEO,26/01/2023,29/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-CAS-GLO,0,0,0,0,0,0,0,0
SEO,27/01/2023,29/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-CAS-GLO,0,0,0,0,0,0,0,0
SEO,28/01/2023,29/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-CAS-GLO,0,0,0,0,0,0,0,0
SEO,29/01/2023,29/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-CAS-GLO,0,0,0,0,0,0,0,0
SEO,30/01/2023,05/02/2023 00:00,2023-01,Stake.com,Stake.com,BNE-CAS-GLO,0,0,0,0,0,0,0,0
SEO,31/01/2023,05/02/2023 00:00,2023-01,Stake.com,Stake.com,BNE-CAS-GLO,0,0,0,0,0,0,0,0
SEO,01/01/2023,01/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-SPO-GLO,0,0,0,0,0,0,0,0
SEO,02/01/2023,08/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-SPO-GLO,0,0,0,0,0,0,0,0
SEO,03/01/2023,08/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-SPO-GLO,0,0,0,0,0,0,0,0
SEO,04/01/2023,08/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-SPO-GLO,0,0,0,0,0,0,0,0
SEO,05/01/2023,08/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-SPO-GLO,0,0,0,0,0,0,0,0
SEO,06/01/2023,08/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-SPO-GLO,0,0,0,0,0,0,0,0
SEO,07/01/2023,08/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-SPO-GLO,0,0,0,0,0,0,0,0
